DriverNumber,LapTime,SpeedST,Compound,TyreLife,Team,TrackTemp,Rainfall,WindSpeed,RoundNumber,FuelLevel,QualiBest,Target
1,96.83,245.0,INTERMEDIATE,8.0,Red Bull Racing,19.1,False,3.4,1,49.0,75.096,1.2894162139128582
4,96.278,276.0,INTERMEDIATE,8.0,McLaren,19.1,False,3.4,1,49.0,75.096,1.2820656226696496
81,97.251,257.0,INTERMEDIATE,8.0,McLaren,19.1,False,3.4,1,49.0,75.096,1.2950223713646531
1,94.315,258.0,INTERMEDIATE,9.0,Red Bull Racing,19.1,False,2.5,1,48.0,75.096,1.2559257483754127
4,94.638,281.0,INTERMEDIATE,9.0,McLaren,19.1,False,2.5,1,48.0,75.096,1.2602269095557685
5,96.663,264.0,INTERMEDIATE,9.0,Kick Sauber,19.1,False,2.5,1,48.0,75.096,1.2871923937360177
10,96.062,241.0,INTERMEDIATE,9.0,Alpine,19.1,False,2.5,1,48.0,75.096,1.2791893043570894
12,96.312,258.0,INTERMEDIATE,9.0,Mercedes,19.1,False,2.5,1,48.0,75.096,1.2825183764781078
16,94.933,263.0,INTERMEDIATE,9.0,Ferrari,19.1,False,2.5,1,48.0,75.096,1.2641552146585704
18,96.253,251.0,INTERMEDIATE,5.0,Aston Martin,19.1,False,2.5,1,48.0,75.096,1.2817327154575475
22,95.409,254.0,INTERMEDIATE,9.0,Racing Bulls,19.1,False,2.5,1,48.0,75.096,1.2704937679769894
27,96.51,242.0,INTERMEDIATE,9.0,Kick Sauber,19.1,False,2.5,1,48.0,75.096,1.2851550015979547
44,96.242,240.0,INTERMEDIATE,9.0,Ferrari,19.1,False,2.5,1,48.0,75.096,1.281586236284223
63,94.873,269.0,INTERMEDIATE,9.0,Mercedes,19.1,False,2.5,1,48.0,75.096,1.263356237349526
81,94.578,273.0,INTERMEDIATE,9.0,McLaren,19.1,False,2.5,1,48.0,75.096,1.2594279322467241
1,92.65,263.0,INTERMEDIATE,10.0,Red Bull Racing,19.1,False,4.3,1,47.0,75.096,1.2337541280494302
4,92.13,280.0,INTERMEDIATE,10.0,McLaren,19.1,False,4.3,1,47.0,75.096,1.2268296580377116
5,95.625,274.0,INTERMEDIATE,10.0,Kick Sauber,19.1,False,4.3,1,47.0,75.096,1.2733700862895494
10,95.527,255.0,INTERMEDIATE,10.0,Alpine,19.1,False,4.3,1,47.0,75.096,1.27206509001811
12,95.27,271.0,INTERMEDIATE,10.0,Mercedes,19.1,False,4.3,1,47.0,75.096,1.2686428038777031
14,95.569,254.0,INTERMEDIATE,10.0,Aston Martin,19.1,False,4.3,1,47.0,75.096,1.2726243741344412
16,93.539,260.0,INTERMEDIATE,10.0,Ferrari,19.1,False,4.3,1,47.0,75.096,1.2455923085117715
18,95.14,264.0,INTERMEDIATE,6.0,Aston Martin,19.1,False,4.3,1,47.0,75.096,1.2669116863747736
22,94.433,253.0,INTERMEDIATE,10.0,Racing Bulls,19.1,False,4.3,1,47.0,75.096,1.2574970704165336
27,95.044,259.0,INTERMEDIATE,10.0,Kick Sauber,19.1,False,4.3,1,47.0,75.096,1.2656333226803025
30,96.614,276.0,INTERMEDIATE,9.0,Red Bull Racing,19.1,False,4.3,1,47.0,75.096,1.2865398956002982
