Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber
0 days 00:18:10.446000,NOR,4,0 days 00:01:16.003000,2.0,1.0,,,0 days 00:00:26.383000,0 days 00:00:17.285000,0 days 00:00:32.335000,0 days 00:17:20.826000,0 days 00:17:38.111000,0 days 00:18:10.446000,290.0,322.0,307.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:16:54.443000,,1,,,,False,True,1
0 days 00:23:24.968000,NOR,4,0 days 00:01:15.912000,5.0,2.0,,,0 days 00:00:26.463000,0 days 00:00:17.116000,0 days 00:00:32.333000,0 days 00:22:35.519000,0 days 00:22:52.635000,0 days 00:23:24.968000,290.0,326.0,308.0,328.0,True,SOFT,5.0,False,McLaren,0 days 00:22:09.056000,,1,,,,False,True,1
0 days 00:42:08.476000,NOR,4,0 days 00:01:15.556000,10.0,4.0,,,0 days 00:00:26.104000,0 days 00:00:17.122000,0 days 00:00:32.330000,0 days 00:41:19.024000,0 days 00:41:36.146000,0 days 00:42:08.476000,289.0,325.0,307.0,323.0,True,None,2.0,True,McLaren,0 days 00:40:52.920000,,1,,,,False,True,1
0 days 00:53:23.470000,NOR,4,0 days 00:01:15.415000,13.0,5.0,,,0 days 00:00:26.194000,0 days 00:00:17.030000,0 days 00:00:32.191000,0 days 00:52:34.249000,0 days 00:52:51.279000,0 days 00:53:23.470000,289.0,325.0,310.0,328.0,True,SOFT,5.0,False,McLaren,0 days 00:52:08.055000,,1,,,,False,True,1
0 days 01:03:42.907000,NOR,4,0 days 00:01:15.921000,16.0,6.0,,,0 days 00:00:26.127000,0 days 00:00:17.057000,0 days 00:00:32.737000,0 days 01:02:53.113000,0 days 01:03:10.170000,0 days 01:03:42.907000,289.0,325.0,313.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:02:26.986000,,1,,,,False,True,1
0 days 01:11:43.736000,NOR,4,0 days 00:01:15.096000,19.0,7.0,,,0 days 00:00:25.961000,0 days 00:00:16.997000,0 days 00:00:32.138000,0 days 01:10:54.601000,0 days 01:11:11.598000,0 days 01:11:43.736000,288.0,325.0,310.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:10:28.640000,,1,,,,False,True,1
0 days 00:18:52.202000,PIA,81,0 days 00:01:16.157000,2.0,1.0,,,0 days 00:00:26.452000,0 days 00:00:17.204000,0 days 00:00:32.501000,0 days 00:18:02.497000,0 days 00:18:19.701000,0 days 00:18:52.202000,290.0,322.0,306.0,321.0,True,SOFT,2.0,True,McLaren,0 days 00:17:36.045000,,1,,,,False,True,1
0 days 00:23:56.059000,PIA,81,0 days 00:01:16.062000,5.0,2.0,,,0 days 00:00:26.270000,0 days 00:00:17.114000,0 days 00:00:32.678000,0 days 00:23:06.267000,0 days 00:23:23.381000,0 days 00:23:56.059000,289.0,325.0,307.0,325.0,True,SOFT,5.0,False,McLaren,0 days 00:22:39.997000,,12,,,,False,True,1
0 days 00:41:58.825000,PIA,81,0 days 00:01:15.468000,9.0,4.0,,,0 days 00:00:26.171000,0 days 00:00:17.111000,0 days 00:00:32.186000,0 days 00:41:09.528000,0 days 00:41:26.639000,0 days 00:41:58.825000,290.0,324.0,305.0,323.0,True,SOFT,2.0,True,McLaren,0 days 00:40:43.357000,,1,,,,False,True,1
0 days 01:03:34.415000,PIA,81,0 days 00:01:16.147000,14.0,6.0,,,0 days 00:00:26.190000,0 days 00:00:17.066000,0 days 00:00:32.891000,0 days 01:02:44.458000,0 days 01:03:01.524000,0 days 01:03:34.415000,288.0,326.0,309.0,323.0,True,SOFT,2.0,True,McLaren,0 days 01:02:18.268000,,1,,,,False,True,1
0 days 01:11:33.509000,PIA,81,0 days 00:01:15.180000,17.0,7.0,,,0 days 00:00:26.082000,0 days 00:00:16.952000,0 days 00:00:32.146000,0 days 01:10:44.411000,0 days 01:11:01.363000,0 days 01:11:33.509000,289.0,325.0,309.0,323.0,True,SOFT,2.0,True,McLaren,0 days 01:10:18.329000,,1,,,,False,True,1
