RoundNumber,LapNumber,DriverNumber,AvgCorneringSpeed,MaxSpeed,AvgRPM,GearShifts,AvgThrottle,BrakePct
1,6,1,106.86084,259.0,9501.549295774648,62.0,36.00825,32.67605633802817
1,7,1,103.67587,282.53125,9353.190751445087,51.0,36.403046,29.672447013487474
1,8,1,113.70787,306.0,10227.545209176787,43.0,58.098125,24.021592442645073
1,9,1,114.04437,307.0,10194.76196990424,42.0,59.435406,22.161422708618332
1,10,1,114.27844,308.0,10258.56534090909,38.0,61.929466,20.738636363636363
1,11,1,114.117096,306.0,10178.821022727272,32.0,63.80364,19.744318181818183
1,12,1,113.39389,307.0,10133.620056497175,34.0,63.58858,20.19774011299435
1,13,1,113.98958,307.0,10279.243937232524,36.0,64.842766,19.686162624821684
1,14,1,115.7092,306.0,10288.994091580502,39.0,63.87744,21.56573116691285
1,15,1,113.05992,326.0,10296.138929088278,40.0,63.45716,17.80028943560058
1,16,1,110.73879,310.0,10192.8211143695,37.0,65.49792,20.234604105571847
1,17,1,105.18208,308.0,10197.540166204986,42.0,63.310856,20.63711911357341
1,18,1,115.23955,307.0,10216.362297496318,38.0,63.152447,21.502209131075112
1,19,1,113.25295,305.0,10139.546628407461,35.0,63.903225,18.077474892395983
1,20,1,113.97679,304.0,10199.52966714906,34.0,63.940342,20.839363241678726
1,21,1,115.12987,303.0,10175.44540229885,36.0,63.472122,18.67816091954023
1,22,1,113.64482,305.0,10119.128318584071,32.0,62.5841,17.25663716814159
1,23,1,114.92183,306.0,10184.664190193165,34.0,64.02323,16.79049034175334
1,24,1,114.10754,306.0,10179.11798561151,33.0,63.7,18.848920863309353
1,25,1,114.01232,305.0,10172.110638297872,36.0,62.89955,19.43262411347518
1,26,1,114.7149,306.0,10184.83137829912,32.0,63.249752,18.035190615835777
1,27,1,116.10492,307.0,10226.24,36.0,64.44434,17.185185185185183
1,28,1,114.07941,306.0,10187.131618759455,35.0,64.74306,15.73373676248109
1,29,1,115.61227,306.0,10247.499263622974,36.0,66.1324,17.673048600883654
1,30,1,116.61174,306.0,10241.921944035346,32.0,66.38025,16.789396170839467
1,31,1,118.920204,303.0,10268.594917787743,35.0,66.35293,16.89088191330344
1,32,1,116.951744,303.0,10266.314410480349,35.0,66.45652,17.612809315866084
1,33,1,115.384766,308.0,10345.025875190258,34.0,67.186226,14.15525114155251
1,36,1,107.76675,274.0,9905.078947368422,69.0,47.97334,30.434782608695656
1,37,1,94.528015,271.0,8938.509819967267,75.0,29.94239,29.623567921440262
1,38,1,101.99096,265.0,9551.321153846155,69.0,36.017624,27.115384615384613
1,39,1,109.04119,263.0,9585.217131474104,60.0,37.14939,26.693227091633464
1,40,1,111.94135,260.0,9905.857857857858,70.0,38.656567,27.627627627627625
1,41,1,101.890854,290.60364,9563.838546922301,58.0,37.648476,31.281533804238144
1,42,1,118.389,305.0,10444.971786833856,35.0,66.88565,20.219435736677116
1,43,1,115.397385,304.0,10505.584375,35.0,71.73052,16.71875
1,44,1,112.495346,323.0,10343.041221374046,35.0,66.67262,19.389312977099237
1,45,1,114.432724,301.0,10107.04469273743,39.0,61.092693,21.089385474860336
1,48,1,100.946655,267.0,9618.93304061471,54.0,42.22903,27.22283205268935
1,49,1,102.22951,253.9625,9256.545880149813,64.0,34.385056,30.243445692883896
1,50,1,104.3284,267.0,9483.929694727105,67.0,35.725204,29.047178538390376
1,51,1,107.135376,290.20398,9702.9033203125,67.0,38.107193,30.2734375
1,52,1,116.63458,301.0,10045.200276243095,36.0,59.108807,24.171270718232044
1,53,1,116.208275,300.0,10183.78869047619,36.0,65.16491,18.75
1,54,1,115.62904,302.0,10141.686930091186,33.0,63.641865,20.212765957446805
1,55,1,115.35909,306.0,10226.878378378378,35.0,66.43409,19.06906906906907
1,56,1,116.1475,325.0,10290.464506172839,37.0,65.48009,20.37037037037037
1,57,1,114.02103,325.0,10241.361538461539,36.0,65.32963,20.153846153846153
1,6,10,103.931984,255.0,8866.816059757237,49.0,40.329494,30.532212885154063
1,7,10,112.30236,282.0,9257.404388714733,43.0,45.957306,29.57157784743992
1,8,10,113.813194,308.0,9851.796565389695,40.0,58.48478,22.85336856010568
1,9,10,113.213524,308.0,9945.067842605156,37.0,61.95455,21.031207598371775
1,10,10,112.70443,307.0,9990.013698630137,39.0,60.79919,22.73972602739726
1,11,10,113.83024,303.0,9895.930458970794,32.0,63.672447,20.86230876216968
1,12,10,116.926094,305.0,9992.961800818553,38.0,63.42488,22.510231923601637
1,13,10,112.98219,305.0,10061.41470180305,38.0,65.01945,19.694868238557557
1,14,10,114.31919,304.0,9855.860869565216,33.0,63.82387,19.565217391304348
1,15,10,115.13492,306.0,9972.69,32.0,65.3064,20.0
1,16,10,115.41697,308.0,10026.268635724331,33.0,65.87936,20.956399437412095
1,17,10,114.61469,307.0,9962.680731364275,31.0,65.422226,18.28410689170183
1,18,10,111.89524,305.0,9875.014577259475,29.0,65.43106,17.63848396501458
1,19,10,112.70297,309.0,9935.43352601156,31.0,65.318565,18.786127167630056
1,20,10,113.509285,306.0,10014.088068181818,35.0,66.10708,16.90340909090909
1,21,10,114.88142,308.0,10002.151129943502,31.0,65.86748,18.361581920903955
1,22,10,113.32856,304.0,10002.521292217327,31.0,66.77245,16.886930983847286
1,23,10,115.473175,305.0,9977.626995645864,31.0,65.50829,18.867924528301888
1,24,10,113.275246,305.0,9908.36923076923,31.0,65.738335,17.902097902097903
1,25,10,113.38435,306.0,10082.224137931034,34.0,66.96814,18.39080459770115
1,26,10,114.52617,306.0,10036.201729106628,35.0,66.58484,18.011527377521613
1,27,10,114.78896,307.0,10029.349702380952,33.0,67.03693,17.113095238095237
1,28,10,115.49112,306.0,10040.89660265879,34.0,67.06709,16.248153618906944
1,29,10,115.733665,306.0,10058.471098265896,32.0,67.244286,16.329479768786126
