DriverNumber,LapTime,LapNumber,SpeedST,TyreLife,TrackTemp,Rainfall,Position,RoundNumber,FuelLevel,QualiBest,Target,DriverPower,TeamPace,C_INTERMEDIATE,Length,Traction,Abrasion,TrackEvolution,TyreStress,Lateral,Downforce,CompoundRating,GapAhead,GapBehind
1,96.83,8.0,245.0,8.0,19.1,0,2.0,1,49.0,75.096,1.2894162139128582,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,0.402,0.635
4,96.278,8.0,276.0,8.0,19.1,0,1.0,1,49.0,75.096,1.2820656226696496,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,0.402
81,97.251,8.0,257.0,8.0,19.1,0,3.0,1,49.0,75.096,1.2950223713646531,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,0.635,0.616
1,94.315,9.0,258.0,9.0,19.1,0,2.0,1,48.0,75.096,1.2559257483754127,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,0.954,1.056
4,94.638,9.0,281.0,9.0,19.1,0,1.0,1,48.0,75.096,1.2602269095557683,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,0.954
5,96.663,9.0,264.0,9.0,19.1,0,14.0,1,48.0,75.096,1.2871923937360177,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,2.778,1.307
10,96.062,9.0,241.0,9.0,19.1,0,9.0,1,48.0,75.096,1.2791893043570894,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,0.706,0.85
12,96.312,9.0,258.0,9.0,19.1,0,13.0,1,48.0,75.096,1.2825183764781078,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,0.697,2.778
16,94.933,9.0,263.0,9.0,19.1,0,5.0,1,48.0,75.096,1.2641552146585704,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.103,1.204
18,96.253,9.0,251.0,5.0,19.1,0,11.0,1,48.0,75.096,1.2817327154575475,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,2.249,0.715
22,95.409,9.0,254.0,9.0,19.1,0,6.0,1,48.0,75.096,1.2704937679769894,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,1.204,0.279
27,96.51,9.0,242.0,9.0,19.1,0,12.0,1,48.0,75.096,1.2851550015979547,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,0.715,0.697
44,96.242,9.0,240.0,9.0,19.1,0,8.0,1,48.0,75.096,1.281586236284223,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,0.698,0.706
63,94.873,9.0,269.0,9.0,19.1,0,4.0,1,48.0,75.096,1.263356237349526,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,1.189,1.103
81,94.578,9.0,273.0,9.0,19.1,0,3.0,1,48.0,75.096,1.259427932246724,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,1.056,1.189
1,92.65,10.0,263.0,10.0,19.1,0,2.0,1,47.0,75.096,1.2337541280494302,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,0.631,1.319
4,92.13,10.0,280.0,10.0,19.1,0,1.0,1,47.0,75.096,1.2268296580377116,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,0.631
5,95.625,10.0,274.0,10.0,19.1,0,14.0,1,47.0,75.096,1.2733700862895494,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,3.129,2.693
10,95.527,10.0,255.0,10.0,19.1,0,9.0,1,47.0,75.096,1.27206509001811,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,0.526,1.055
12,95.27,10.0,271.0,10.0,19.1,0,13.0,1,47.0,75.096,1.2686428038777031,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,0.499,3.129
14,95.569,10.0,254.0,10.0,19.1,0,10.0,1,47.0,75.096,1.2726243741344412,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.055,2.235
16,93.539,10.0,260.0,10.0,19.1,0,5.0,1,47.0,75.096,1.2455923085117715,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.163,1.68
18,95.14,10.0,264.0,6.0,19.1,0,11.0,1,47.0,75.096,1.2669116863747736,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,2.235,0.972
22,94.433,10.0,253.0,10.0,19.1,0,6.0,1,47.0,75.096,1.2574970704165336,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,1.68,1.17
27,95.044,10.0,259.0,10.0,19.1,0,12.0,1,47.0,75.096,1.2656333226803025,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,0.972,0.499
30,96.614,10.0,276.0,9.0,19.1,0,16.0,1,47.0,75.096,1.2865398956002982,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.913,2.664
31,96.474,10.0,246.0,6.0,19.1,0,15.0,1,47.0,75.096,1.284675615212528,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,2.693,1.913
44,95.107,10.0,246.0,10.0,19.1,0,8.0,1,47.0,75.096,1.266472248854799,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,0.64,0.526
63,93.587,10.0,276.0,10.0,19.1,0,4.0,1,47.0,75.096,1.246231490359007,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,1.484,1.163
81,92.672,10.0,280.0,10.0,19.1,0,3.0,1,47.0,75.096,1.2340470863960795,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,1.319,1.484
87,96.411,10.0,253.0,6.0,19.1,0,17.0,1,47.0,75.096,1.2838366890380313,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,2.664,100.0
